game_id,possession_number,period,period_bucket,offense_team,defense_team,seconds_left_in_game,score_difference,L_t,F_t,N_t,M_t,score_margin_excluded_t,intentional_foul_excluded_t,controlled_excluded_t
0022500802,1,1,1,CLE,CHA,2865.0,2,0,0,1,0,0,0,0
0022500802,2,1,1,CHA,CLE,2843.0,1,0,0,1,0,0,0,0
0022500802,3,1,1,CLE,CHA,2833.998,1,0,1,1,2,0,0,0
0022500802,4,1,1,CHA,CLE,2811.0,2,1,0,1,0,0,0,0
0022500802,5,1,1,CLE,CHA,2796.997,-1,1,1,0,1,0,0,0
0022500802,6,1,1,CHA,CLE,2783.0,1,1,0,0,0,0,0,0
0022500802,7,1,1,CLE,CHA,2777.0,1,1,0,0,0,0,0,0
0022500802,8,1,1,CHA,CLE,2767.0,1,0,0,1,0,0,0,0
0022500802,9,1,1,CLE,CHA,2750.0,1,0,0,1,0,0,0,0
0022500802,10,1,1,CHA,CLE,2730.998,1,0,1,0,1,0,0,0
0022500802,11,1,1,CLE,CHA,2710.999,1,1,0,0,0,0,0,0
0022500802,12,1,1,CHA,CLE,2689.0,-1,1,0,0,0,0,0,0
0022500802,13,1,1,CLE,CHA,2676.0,1,0,0,1,0,0,0,0
0022500802,14,1,1,CHA,CLE,2656.0,2,0,0,1,0,0,0,0
0022500802,15,1,1,CLE,CHA,2642.0,-2,0,1,0,1,0,0,0
0022500802,16,1,1,CHA,CLE,2618.0,2,1,0,1,0,0,0,0
0022500802,17,1,1,CLE,CHA,2607.0,-2,1,0,1,0,0,0,0
0022500802,18,1,1,CHA,CLE,2593.994,4,0,1,0,1,0,0,0
0022500802,19,1,1,CLE,CHA,2582.0,-1,1,0,0,0,0,0,0
0022500802,20,1,1,CHA,CLE,2552.0,1,1,0,0,0,0,0,0
0022500802,21,1,1,CLE,CHA,2540.0,-1,0,0,0,0,0,0,0
0022500802,22,1,1,CHA,CLE,2522.999,1,0,0,0,0,0,0,0
0022500802,23,1,1,CLE,CHA,2514.0,-1,0,0,1,0,0,0,0
0022500802,24,1,1,CHA,CLE,2493.0,3,0,0,1,0,0,0,0
0022500802,25,1,1,CLE,CHA,2472.996,-1,0,1,1,2,0,0,0
0022500802,26,1,1,CHA,CLE,2453.0,1,1,0,1,0,0,0,0
0022500802,27,1,1,CLE,CHA,2437.998,2,1,1,0,1,0,0,0
