season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,fit_status,rows_before_exclusion,rows_excluded_score_margin,rows_excluded_intentional,rows_excluded_total,rows_used_in_model,fit_method,adjusted_mean_M_t_if_L_t_eq_1,adjusted_mean_M_t_if_L_t_eq_0,WMI_controlledgame,beta_L_t,irr_L_t,p_value_L_t,wmi_controlledgame_percentile
2020-21,0022000001,20201222,GSW,BKN,GSW @ BKN,data.nba.com mobile_teams v2015 play-by-play,221,ok,221,178,0,178,221,glm_poisson_log_raw_controls,0.17665481055411514,0.257185314567761,0.6868775180690639,-0.37559928785235197,0.6868775180690639,0.23589447280232712,39.46952397681363
2020-21,0022000002,20201222,LAC,LAL,LAC @ LAL,data.nba.com mobile_teams v2015 play-by-play,208,ok,208,52,0,52,208,glm_poisson_log_raw_controls,0.2317356388819663,0.2673785953800237,0.8666948023741459,-0.143068379889766,0.8666948023741459,0.6301068508028878,62.98963639557351
2020-21,0022000003,20201223,MIL,BOS,MIL @ BOS,data.nba.com mobile_teams v2015 play-by-play,199,ok,199,6,1,7,199,glm_poisson_log_raw_controls,0.2237401275264724,0.19872690199532775,1.125867334920426,0.11855370298972463,1.125867334920426,0.7271834695867296,85.10451431582645
2020-21,0022000004,20201223,DAL,PHX,DAL @ PHX,data.nba.com mobile_teams v2015 play-by-play,203,ok,203,0,1,1,203,glm_poisson_log_raw_controls,0.16952699715672914,0.2798476119134029,0.6057832546707178,-0.501233022450276,0.6057832546707178,0.13322452887037908,27.89390479536273
2020-21,0022000005,20201225,NOP,MIA,NOP @ MIA,data.nba.com mobile_teams v2015 play-by-play,191,ok,191,62,0,62,191,glm_poisson_log_raw_controls,0.2700963389009106,0.3117760684790622,0.8663151736389586,-0.1435064947840991,0.8663151736389586,0.6050797343103638,62.95450553311084
2020-21,0022000006,20201225,GSW,MIL,GSW @ MIL,data.nba.com mobile_teams v2015 play-by-play,218,ok,218,77,0,77,218,glm_poisson_log_raw_controls,0.1489841224339202,0.1903663482603681,0.782617956353039,-0.24511062498522376,0.782617956353039,0.5205088003135522,52.678728262778854
2020-21,0022000007,20201225,BKN,BOS,BKN @ BOS,data.nba.com mobile_teams v2015 play-by-play,194,ok,194,29,0,29,194,glm_poisson_log_raw_controls,0.16717252976135918,0.3441273832708246,0.4857867693423169,-0.7219854975681477,0.4857867693423169,0.024037213843520807,14.140172141226067
2020-21,0022000008,20201225,DAL,LAL,DAL @ LAL,data.nba.com mobile_teams v2015 play-by-play,204,ok,204,55,0,55,204,glm_poisson_log_raw_controls,0.23710165164973168,0.2966821696171558,0.7991772877881137,-0.22417247073515317,0.7991772877881137,0.440002089894614,55.155454066397326
2020-21,0022000009,20201225,LAC,DEN,LAC @ DEN,data.nba.com mobile_teams v2015 play-by-play,191,ok,191,81,1,82,191,glm_poisson_log_raw_controls,0.3652922843265549,0.3122876445206242,1.169730185410618,0.156773111454759,1.169730185410618,0.5477192340804944,87.5636746882136
2020-21,0022000010,20201223,CHA,CLE,CHA @ CLE,data.nba.com mobile_teams v2015 play-by-play,201,ok,201,58,1,59,201,glm_poisson_log_raw_controls,0.18790967723640054,0.23333899146505221,0.8053076601410797,-0.2165308880675772,0.8053076601410797,0.5237606539463185,55.80537502195679
2020-21,0022000011,20201223,NYK,IND,NYK @ IND,data.nba.com mobile_teams v2015 play-by-play,211,ok,211,17,0,17,211,glm_poisson_log_raw_controls,0.1880592649980117,0.2855984085885248,0.6584744849505012,-0.4178295057772831,0.6584744849505012,0.1824257640453404,35.306516774986825
2020-21,0022000012,20201223,MIA,ORL,MIA @ ORL,data.nba.com mobile_teams v2015 play-by-play,212,ok,212,0,3,3,212,glm_poisson_log_raw_controls,0.2053693924012235,0.23989662036456344,0.8560745544857199,-0.15539781027124053,0.8560745544857199,0.6313617539249701,61.90057965923064
2020-21,0022000013,20201223,WAS,PHI,WAS @ PHI,data.nba.com mobile_teams v2015 play-by-play,215,ok,215,0,2,2,215,glm_poisson_log_raw_controls,0.2308835859913793,0.26373802745516245,0.8754277425185919,-0.13304266347939323,0.8754277425185919,0.6515596406100408,63.973300544528364
2020-21,0022000014,20201223,NOP,TOR,NOP @ TOR,data.nba.com mobile_teams v2015 play-by-play,207,ok,207,1,0,1,207,glm_poisson_log_raw_controls,0.06602645031493755,0.18440328201731837,0.35805463759987,-1.0270696852324803,0.35805463759987,0.059088026717961886,4.6372738450728965
2020-21,0022000015,20201223,ATL,CHI,ATL @ CHI,data.nba.com mobile_teams v2015 play-by-play,213,ok,213,140,0,140,213,glm_poisson_log_raw_controls,0.1652611339411763,0.2828714989545288,0.5842268823545981,-0.5374658744168699,0.5842268823545981,0.0955155035859593,25.540137010363605
2020-21,0022000016,20210321,OKC,HOU,OKC @ HOU,data.nba.com mobile_teams v2015 play-by-play,201,ok,201,0,1,1,201,glm_poisson_log_raw_controls,0.0730399335195341,0.2414287203373273,0.3025320824195306,-1.1955679495497238,0.3025320824195306,0.014069662494769,2.4942912348498156
2020-21,0022000017,20201223,SAS,MEM,SAS @ MEM,data.nba.com mobile_teams v2015 play-by-play,217,ok,217,8,1,9,217,glm_poisson_log_raw_controls,0.1503104268193854,0.24336294076215945,0.6176389319945182,-0.481851244702463,0.6176389319945182,0.16778720911610856,29.668013349727733
2020-21,0022000018,20201223,DET,MIN,DET @ MIN,data.nba.com mobile_teams v2015 play-by-play,200,ok,200,0,0,0,200,glm_poisson_log_raw_controls,0.10873397380315594,0.22857531026992212,0.47570305679451186,-0.7429614496774085,0.47570305679451186,0.07970615734383947,13.086246267345864
2020-21,0022000019,20201223,SAC,DEN,SAC @ DEN,data.nba.com mobile_teams v2015 play-by-play,225,ok,225,0,1,1,225,glm_poisson_log_raw_controls,0.1648908399045197,0.31336098271994844,0.5262009279945459,-0.6420721467998756,0.5262009279945459,0.03499841799033289,18.355875636746884
2020-21,0022000020,20201223,UTA,POR,UTA @ POR,data.nba.com mobile_teams v2015 play-by-play,198,ok,198,129,1,129,198,glm_poisson_log_raw_controls,0.19826005513528355,0.20367571293197348,0.9734103898853236,-0.026949507831114577,0.9734103898853236,0.9381248819471046,74.49499385209907
