season,game_id,status,error_message,dataset
2021-22,0022100430,failed,No mobile play-by-play rows found for game_id 0022100430.,
2021-22,0022100458,failed,No mobile play-by-play rows found for game_id 0022100458.,
2021-22,0022100464,failed,No mobile play-by-play rows found for game_id 0022100464.,
2021-22,0022100521,failed,No mobile play-by-play rows found for game_id 0022100521.,
2021-22,0022100528,failed,No mobile play-by-play rows found for game_id 0022100528.,
2021-22,0022100710,failed,No mobile play-by-play rows found for game_id 0022100710.,
2021-22,0022100726,failed,No mobile play-by-play rows found for game_id 0022100726.,
2021-22,0022100773,failed,No mobile play-by-play rows found for game_id 0022100773.,
2021-22,0022100775,failed,No mobile play-by-play rows found for game_id 0022100775.,
2021-22,0022100774,failed,No mobile play-by-play rows found for game_id 0022100774.,
2021-22,0022100776,failed,No mobile play-by-play rows found for game_id 0022100776.,
2021-22,0022100777,failed,No mobile play-by-play rows found for game_id 0022100777.,
2021-22,0022100779,failed,No mobile play-by-play rows found for game_id 0022100779.,
2021-22,0022100778,failed,No mobile play-by-play rows found for game_id 0022100778.,
2021-22,0022100780,failed,No mobile play-by-play rows found for game_id 0022100780.,
2021-22,0022100781,failed,No mobile play-by-play rows found for game_id 0022100781.,
2021-22,0022100782,failed,No mobile play-by-play rows found for game_id 0022100782.,
2021-22,0022100783,failed,No mobile play-by-play rows found for game_id 0022100783.,
2021-22,0022100785,failed,No mobile play-by-play rows found for game_id 0022100785.,
2021-22,0022100787,failed,No mobile play-by-play rows found for game_id 0022100787.,
2021-22,0022100786,failed,No mobile play-by-play rows found for game_id 0022100786.,
2021-22,0022100788,failed,No mobile play-by-play rows found for game_id 0022100788.,
2021-22,0022100789,failed,No mobile play-by-play rows found for game_id 0022100789.,
2021-22,0022100790,failed,No mobile play-by-play rows found for game_id 0022100790.,
2021-22,0022100791,failed,No mobile play-by-play rows found for game_id 0022100791.,
2021-22,0022100792,failed,No mobile play-by-play rows found for game_id 0022100792.,
2021-22,0022100793,failed,No mobile play-by-play rows found for game_id 0022100793.,
2021-22,0022100795,failed,No mobile play-by-play rows found for game_id 0022100795.,
2021-22,0022100794,failed,No mobile play-by-play rows found for game_id 0022100794.,
2021-22,0022100796,failed,No mobile play-by-play rows found for game_id 0022100796.,
2021-22,0022100797,failed,No mobile play-by-play rows found for game_id 0022100797.,
2021-22,0022100800,failed,No mobile play-by-play rows found for game_id 0022100800.,
2021-22,0022100798,failed,No mobile play-by-play rows found for game_id 0022100798.,
2021-22,0022100799,failed,No mobile play-by-play rows found for game_id 0022100799.,
2021-22,0022100801,failed,No mobile play-by-play rows found for game_id 0022100801.,
2021-22,0022100802,failed,No mobile play-by-play rows found for game_id 0022100802.,
2021-22,0022100804,failed,No mobile play-by-play rows found for game_id 0022100804.,
2021-22,0022100803,failed,No mobile play-by-play rows found for game_id 0022100803.,
2021-22,0022100805,failed,No mobile play-by-play rows found for game_id 0022100805.,
2021-22,0022100806,failed,No mobile play-by-play rows found for game_id 0022100806.,
2021-22,0022100808,failed,No mobile play-by-play rows found for game_id 0022100808.,
2021-22,0022100807,failed,No mobile play-by-play rows found for game_id 0022100807.,
2021-22,0022100809,failed,No mobile play-by-play rows found for game_id 0022100809.,
2021-22,0022100810,failed,No mobile play-by-play rows found for game_id 0022100810.,
2021-22,0022100812,failed,No mobile play-by-play rows found for game_id 0022100812.,
2021-22,0022100811,failed,No mobile play-by-play rows found for game_id 0022100811.,
2021-22,0022100813,failed,No mobile play-by-play rows found for game_id 0022100813.,
2021-22,0022100814,failed,No mobile play-by-play rows found for game_id 0022100814.,
2021-22,0022100815,failed,No mobile play-by-play rows found for game_id 0022100815.,
2021-22,0022100816,failed,No mobile play-by-play rows found for game_id 0022100816.,
2021-22,0022100817,failed,No mobile play-by-play rows found for game_id 0022100817.,
2021-22,0022100818,failed,No mobile play-by-play rows found for game_id 0022100818.,
2021-22,0022100820,failed,No mobile play-by-play rows found for game_id 0022100820.,
2021-22,0022100819,failed,No mobile play-by-play rows found for game_id 0022100819.,
2021-22,0022100821,failed,No mobile play-by-play rows found for game_id 0022100821.,
2021-22,0022100822,failed,No mobile play-by-play rows found for game_id 0022100822.,
2021-22,0022100823,failed,No mobile play-by-play rows found for game_id 0022100823.,
2021-22,0022100824,failed,No mobile play-by-play rows found for game_id 0022100824.,
2021-22,0022100825,failed,No mobile play-by-play rows found for game_id 0022100825.,
2021-22,0022100826,failed,No mobile play-by-play rows found for game_id 0022100826.,
2021-22,0022100827,failed,No mobile play-by-play rows found for game_id 0022100827.,
2021-22,0022100828,failed,No mobile play-by-play rows found for game_id 0022100828.,
2021-22,0022100829,failed,No mobile play-by-play rows found for game_id 0022100829.,
2021-22,0022100830,failed,No mobile play-by-play rows found for game_id 0022100830.,
2021-22,0022100831,failed,No mobile play-by-play rows found for game_id 0022100831.,
2021-22,0022100832,failed,No mobile play-by-play rows found for game_id 0022100832.,
2021-22,0022100833,failed,No mobile play-by-play rows found for game_id 0022100833.,
2021-22,0022100834,failed,No mobile play-by-play rows found for game_id 0022100834.,
2021-22,0022100835,failed,No mobile play-by-play rows found for game_id 0022100835.,
2021-22,0022100836,failed,No mobile play-by-play rows found for game_id 0022100836.,
2021-22,0022100837,failed,No mobile play-by-play rows found for game_id 0022100837.,
2021-22,0022100838,failed,No mobile play-by-play rows found for game_id 0022100838.,
2021-22,0022100839,failed,No mobile play-by-play rows found for game_id 0022100839.,
2021-22,0022100840,failed,No mobile play-by-play rows found for game_id 0022100840.,
2021-22,0022100841,failed,No mobile play-by-play rows found for game_id 0022100841.,
