def_foul_num,offense_team,defense_team,seconds_left_in_game,score_difference,def_foul_called_in_last2_possessions,def_foul_called_in_next2_possessions,L_t,F_t,N_t,M_t
1,OKC,MIL,2541.0,-3,0,0,0,1,0,1
2,OKC,MIL,2475.0,-4,0,0,0,1,0,1
3,MIL,OKC,2446.0,3,0,0,0,1,0,1
4,OKC,MIL,2405.0,-5,0,1,0,1,1,2
5,MIL,OKC,2380.0,2,1,0,1,1,0,1
6,MIL,OKC,2107.0,2,0,0,0,1,0,1
7,OKC,MIL,2048.0,-6,0,0,0,1,0,1
8,MIL,OKC,1869.0,3,0,0,0,1,0,1
9,MIL,OKC,1772.0,6,0,0,0,1,0,1
10,MIL,OKC,1690.0,12,0,0,0,1,0,1
11,OKC,MIL,1656.0,-13,0,1,0,1,1,2
12,MIL,OKC,1644.0,15,1,1,1,1,1,2
13,OKC,MIL,1630.0,-16,1,0,1,1,0,1
14,OKC,MIL,1541.0,-14,0,0,0,1,0,1
15,MIL,OKC,1431.0,12,0,0,0,1,0,1
16,OKC,MIL,1037.0,-10,0,0,0,1,0,1
17,OKC,MIL,534.0,-22,0,0,0,1,0,1
18,OKC,MIL,118.0,-21,0,0,0,1,0,1
19,OKC,MIL,41.2,-19,0,0,0,1,0,1
