season,game_id,game_date_et,away_team,home_team,matchup,source,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,as_of_utc_date,game_status,game_status_text,wmi_percentile
2020-21,22000001,20201222,GSW,BKN,GSW @ BKN,data.nba.com mobile_teams v2015 play-by-play,221,70,151,0.2142857142857142,0.2317880794701986,0.9244897959183672,,,,51.806154303552844
2020-21,22000002,20201222,LAC,LAL,LAC @ LAL,data.nba.com mobile_teams v2015 play-by-play,208,72,136,0.2361111111111111,0.2647058823529412,0.8919753086419753,,,,48.03032555373867
2020-21,22000003,20201223,MIL,BOS,MIL @ BOS,data.nba.com mobile_teams v2015 play-by-play,199,54,145,0.2407407407407407,0.193103448275862,1.2466931216931216,,,,79.66404043407165
2020-21,22000004,20201223,DAL,PHX,DAL @ PHX,data.nba.com mobile_teams v2015 play-by-play,203,71,132,0.1690140845070422,0.2803030303030303,0.6029691663494481,,,,15.861453842723352
2020-21,22000005,20201225,NOP,MIA,NOP @ MIA,data.nba.com mobile_teams v2015 play-by-play,191,74,117,0.3108108108108108,0.282051282051282,1.101965601965602,,,,69.06496209305783
2020-21,22000006,20201225,GSW,MIL,GSW @ MIL,data.nba.com mobile_teams v2015 play-by-play,218,60,158,0.15,0.189873417721519,0.7899999999999999,,,,36.77716664189089
2020-21,22000007,20201225,BKN,BOS,BKN @ BOS,data.nba.com mobile_teams v2015 play-by-play,194,76,118,0.1710526315789473,0.3389830508474576,0.5046052631578948,,,,9.03820425152371
2020-21,22000008,20201225,DAL,LAL,DAL @ LAL,data.nba.com mobile_teams v2015 play-by-play,204,74,130,0.2432432432432432,0.2923076923076923,0.8321479374110953,,,,41.251672365095885
2020-21,22000009,20201225,LAC,DEN,LAC @ DEN,data.nba.com mobile_teams v2015 play-by-play,191,72,119,0.4166666666666667,0.2857142857142857,1.4583333333333337,,,,89.91378028839007
2020-21,22000010,20201223,CHA,CLE,CHA @ CLE,data.nba.com mobile_teams v2015 play-by-play,201,63,138,0.1904761904761904,0.2318840579710145,0.8214285714285714,,,,40.22595510628809
2020-21,22000011,20201223,NYK,IND,NYK @ IND,data.nba.com mobile_teams v2015 play-by-play,211,73,138,0.1917808219178082,0.2826086956521739,0.678609062170706,,,,23.532035082503345
2020-21,22000012,20201223,MIA,ORL,MIA @ ORL,data.nba.com mobile_teams v2015 play-by-play,212,67,145,0.2537313432835821,0.2137931034482758,1.1868078960038515,,,,75.36792032109409
2020-21,22000013,20201223,WAS,PHI,WAS @ PHI,data.nba.com mobile_teams v2015 play-by-play,215,72,143,0.2638888888888889,0.2447552447552447,1.0781746031746031,,,,67.01352757544224
2020-21,22000014,20201223,NOP,TOR,NOP @ TOR,data.nba.com mobile_teams v2015 play-by-play,207,50,157,0.08,0.1719745222929936,0.4651851851851852,,,,6.615133045934295
2020-21,22000015,20201223,ATL,CHI,ATL @ CHI,data.nba.com mobile_teams v2015 play-by-play,213,77,136,0.1688311688311688,0.2794117647058823,0.6042378673957621,,,,16.010108517912887
2020-21,22000016,20210321,OKC,HOU,OKC @ HOU,data.nba.com mobile_teams v2015 play-by-play,201,61,140,0.081967213114754,0.2285714285714285,0.3586065573770491,,,,2.2892819979188346
2020-21,22000017,20201223,SAS,MEM,SAS @ MEM,data.nba.com mobile_teams v2015 play-by-play,217,66,151,0.1666666666666666,0.2317880794701986,0.719047619047619,,,,28.31871562360636
2020-21,22000018,20201223,DET,MIN,DET @ MIN,data.nba.com mobile_teams v2015 play-by-play,200,60,140,0.1166666666666666,0.2214285714285714,0.5268817204301075,,,,10.554481938456965
2020-21,22000019,20201223,SAC,DEN,SAC @ DEN,data.nba.com mobile_teams v2015 play-by-play,225,84,141,0.1785714285714285,0.2978723404255319,0.5994897959183674,,,,15.489817154749517
2020-21,22000020,20201223,UTA,POR,UTA @ POR,data.nba.com mobile_teams v2015 play-by-play,198,59,139,0.2033898305084746,0.2014388489208633,1.0096852300242132,,,,60.74030028244388
2020-21,22000021,20201226,ATL,MEM,ATL @ MEM,data.nba.com mobile_teams v2015 play-by-play,209,70,139,0.2857142857142857,0.2446043165467626,1.168067226890756,,,,74.03002824438829
2020-21,22000022,20201226,OKC,CHA,OKC @ CHA,data.nba.com mobile_teams v2015 play-by-play,210,69,141,0.3043478260869565,0.2340425531914893,1.300395256916996,,,,82.94930875576037
2020-21,22000023,20201226,CLE,DET,CLE @ DET,data.nba.com mobile_teams v2015 play-by-play,246,71,175,0.2394366197183098,0.2,1.1971830985915493,,,,76.09632822952281
2020-21,22000024,20201226,ORL,WAS,ORL @ WAS,data.nba.com mobile_teams v2015 play-by-play,218,73,145,0.1232876712328767,0.2620689655172414,0.4704397981254505,,,,6.912442396313365
2020-21,22000025,20201226,PHI,NYK,PHI @ NYK,data.nba.com mobile_teams v2015 play-by-play,187,64,123,0.234375,0.2601626016260163,0.90087890625,,,,49.011446409989595
2020-21,22000026,20201226,IND,CHI,IND @ CHI,data.nba.com mobile_teams v2015 play-by-play,214,69,145,0.1594202898550724,0.2551724137931034,0.6247551899725812,,,,18.03181210049056
2020-21,22000027,20201226,TOR,SAS,TOR @ SAS,data.nba.com mobile_teams v2015 play-by-play,209,67,142,0.2686567164179104,0.2323943661971831,1.1560379918588874,,,,73.24215846588376
2020-21,22000028,20201226,MIN,UTA,MIN @ UTA,data.nba.com mobile_teams v2015 play-by-play,207,75,132,0.3333333333333333,0.2727272727272727,1.2222222222222223,,,,78.16262821465735
2020-21,22000029,20201226,HOU,POR,HOU @ POR,data.nba.com mobile_teams v2015 play-by-play,215,72,143,0.2083333333333333,0.2377622377622377,0.8762254901960784,,,,46.053218373717854
2020-21,22000030,20201226,PHX,SAC,PHX @ SAC,data.nba.com mobile_teams v2015 play-by-play,208,74,134,0.2432432432432432,0.2537313432835821,0.958664546899841,,,,55.44819384569645
2020-21,22000031,20201227,DAL,LAC,DAL @ LAC,data.nba.com mobile_teams v2015 play-by-play,188,61,127,0.180327868852459,0.2440944881889764,0.738762559492332,,,,30.935037906942178
2020-21,22000032,20201227,BKN,CHA,BKN @ CHA,data.nba.com mobile_teams v2015 play-by-play,207,57,150,0.1578947368421052,0.2066666666666666,0.7640067911714771,,,,33.937862345770775
2020-21,22000033,20201227,ORL,WAS,ORL @ WAS,data.nba.com mobile_teams v2015 play-by-play,201,62,139,0.1935483870967742,0.2086330935251798,0.9276974416017796,,,,52.11832912145087
2020-21,22000034,20201227,SAS,NOP,SAS @ NOP,data.nba.com mobile_teams v2015 play-by-play,201,67,134,0.1641791044776119,0.2313432835820895,0.7096774193548387,,,,26.92879441058421
2020-21,22000035,20201227,PHI,CLE,PHI @ CLE,data.nba.com mobile_teams v2015 play-by-play,199,64,135,0.203125,0.2296296296296296,0.8845766129032259,,,,47.03433922996878
2020-21,22000036,20201227,MIL,NYK,MIL @ NYK,data.nba.com mobile_teams v2015 play-by-play,198,63,135,0.3333333333333333,0.2074074074074074,1.6071428571428572,,,,94.10584212873496
2020-21,22000037,20201227,BOS,IND,BOS @ IND,data.nba.com mobile_teams v2015 play-by-play,203,60,143,0.1333333333333333,0.2237762237762237,0.5958333333333333,,,,15.207373271889402
2020-21,22000038,20201227,GSW,CHI,GSW @ CHI,data.nba.com mobile_teams v2015 play-by-play,228,73,155,0.2191780821917808,0.232258064516129,0.943683409436834,,,,53.69406867845994
2020-21,22000039,20201227,PHX,SAC,PHX @ SAC,data.nba.com mobile_teams v2015 play-by-play,197,65,132,0.0923076923076923,0.2651515151515151,0.3481318681318682,,,,2.1257618552103463
2020-21,22000040,20201227,MIN,LAL,MIN @ LAL,data.nba.com mobile_teams v2015 play-by-play,211,52,159,0.2884615384615384,0.1635220125786163,1.7640532544378698,,,,96.68500074327338
2020-21,22000041,20201228,DET,ATL,DET @ ATL,data.nba.com mobile_teams v2015 play-by-play,201,69,132,0.3043478260869565,0.2424242424242424,1.2554347826086958,,,,80.27352460234874
2020-21,22000042,20201228,MEM,BKN,MEM @ BKN,data.nba.com mobile_teams v2015 play-by-play,220,52,168,0.1923076923076923,0.1547619047619047,1.242603550295858,,,,79.41132748624943
2020-21,22000043,20201228,UTA,OKC,UTA @ OKC,data.nba.com mobile_teams v2015 play-by-play,199,55,144,0.109090909090909,0.1944444444444444,0.561038961038961,,,,12.83633120261632
2020-21,22000044,20201228,HOU,DEN,HOU @ DEN,data.nba.com mobile_teams v2015 play-by-play,205,69,136,0.3043478260869565,0.2279411764705882,1.3352033660589062,,,,84.91155046826223
2020-21,22000045,20201228,POR,LAL,POR @ LAL,data.nba.com mobile_teams v2015 play-by-play,197,49,148,0.0612244897959183,0.1689189189189189,0.3624489795918367,,,,2.4082057380704622
2020-21,22000046,20201229,NYK,CLE,NYK @ CLE,data.nba.com mobile_teams v2015 play-by-play,197,57,140,0.2631578947368421,0.1928571428571428,1.364522417153996,,,,86.2940389475249
2020-21,22000047,20201229,GSW,DET,GSW @ DET,data.nba.com mobile_teams v2015 play-by-play,197,81,116,0.3950617283950617,0.3275862068965517,1.2059779077322936,,,,76.85446707298944
2020-21,22000048,20201229,BOS,IND,BOS @ IND,data.nba.com mobile_teams v2015 play-by-play,200,66,134,0.2272727272727272,0.2462686567164179,0.9228650137741048,,,,51.508844953173785
2020-21,22000049,20201229,TOR,PHI,TOR @ PHI,data.nba.com mobile_teams v2015 play-by-play,208,60,148,0.1666666666666666,0.2027027027027027,0.8222222222222221,,,,40.285416976363905
2020-21,22000050,20201229,CHI,WAS,CHI @ WAS,data.nba.com mobile_teams v2015 play-by-play,215,75,140,0.2933333333333333,0.2428571428571428,1.207843137254902,,,,77.0923145532927
2020-21,22000051,20201229,MIL,MIA,MIL @ MIA,data.nba.com mobile_teams v2015 play-by-play,205,64,141,0.1875,0.2340425531914893,0.8011363636363636,,,,37.77315296566077
2020-21,22000052,20201229,ORL,OKC,ORL @ OKC,data.nba.com mobile_teams v2015 play-by-play,206,60,146,0.2833333333333333,0.1917808219178082,1.4773809523809525,,,,90.64962093057828
2020-21,22000053,20201229,NOP,PHX,NOP @ PHX,data.nba.com mobile_teams v2015 play-by-play,185,58,127,0.1206896551724138,0.2283464566929134,0.5285374554102259,,,,10.688271146127546
2020-21,22000054,20201229,MIN,LAC,MIN @ LAC,data.nba.com mobile_teams v2015 play-by-play,194,58,136,0.0862068965517241,0.2205882352941176,0.3908045977011494,,,,3.329864724245578
2020-21,22000055,20201229,DEN,SAC,DEN @ SAC,data.nba.com mobile_teams v2015 play-by-play,202,61,141,0.2131147540983606,0.2198581560283688,0.9693283976731888,,,,56.71919131856696
2020-21,22000056,20201230,MEM,BOS,MEM @ BOS,data.nba.com mobile_teams v2015 play-by-play,206,62,144,0.2903225806451613,0.2083333333333333,1.3935483870967742,,,,87.54273821911698
2020-21,22000057,20201230,ATL,BKN,ATL @ BKN,data.nba.com mobile_teams v2015 play-by-play,214,75,139,0.28,0.2446043165467626,1.1447058823529412,,,,72.48401962241712
