season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_game,wmi_game_percentile
2025-26,2026-03-23,22500001,2025-10-21T19:30:00-04:00,3,Final,HOU,OKC,HOU @ OKC,225,82,143,0.3048780487804878,0.2517482517482518,1.2110433604336042,79.88394584139265
2025-26,2026-03-23,22500002,2025-10-21T22:00:00-04:00,3,Final,GSW,LAL,GSW @ LAL,201,70,131,0.1714285714285714,0.2595419847328244,0.6605042016806723,21.953578336557054
2025-26,2026-03-23,22500003,2025-10-22T19:00:00-04:00,3,Final,CLE,NYK,CLE @ NYK,208,69,139,0.3333333333333333,0.2302158273381295,1.4479166666666663,91.48936170212764
2025-26,2026-03-23,22500004,2025-10-22T21:30:00-04:00,3,Final,SAS,DAL,SAS @ DAL,200,71,129,0.2112676056338028,0.2868217054263566,0.7365816520746098,31.431334622823982
2025-26,2026-03-23,22500005,2025-10-23T19:30:00-04:00,3,Final,OKC,IND,OKC @ IND,245,108,137,0.3055555555555556,0.364963503649635,0.8372222222222223,44.58413926499033
2025-26,2026-03-23,22500006,2025-10-23T22:00:00-04:00,3,Final,DEN,GSW,DEN @ GSW,211,64,147,0.140625,0.2176870748299319,0.64599609375,19.729206963249517
2025-26,2026-03-23,22500007,2025-10-27T19:00:00-04:00,3,Final,CLE,DET,CLE @ DET,208,81,127,0.2716049382716049,0.3070866141732283,0.8844571066793289,50.870406189555126
2025-26,2026-03-23,22500008,2025-10-27T21:30:00-04:00,3,Final,DEN,MIN,DEN @ MIN,204,71,133,0.2253521126760563,0.2556390977443609,0.8815244407622205,50.29013539651837
2025-26,2026-03-23,22500009,2025-12-25T12:00:00-05:00,3,Final,CLE,NYK,CLE @ NYK,206,60,146,0.25,0.2054794520547945,1.2166666666666668,80.36750483558994
2025-26,2026-03-23,22500010,2025-12-25T14:30:00-05:00,3,Final,SAS,OKC,SAS @ OKC,193,53,140,0.1886792452830188,0.2,0.9433962264150944,58.027079303675045
2025-26,2026-03-23,22500011,2025-12-25T17:00:00-05:00,3,Final,DAL,GSW,DAL @ GSW,211,65,146,0.1538461538461538,0.2191780821917808,0.701923076923077,27.176015473887816
2025-26,2026-03-23,22500012,2025-12-25T20:00:00-05:00,3,Final,HOU,LAL,HOU @ LAL,180,43,137,0.3023255813953488,0.145985401459854,2.0709302325581396,99.12959381044487
2025-26,2026-03-23,22500013,2025-12-25T22:30:00-05:00,3,Final,MIN,DEN,MIN @ DEN,234,78,156,0.2564102564102564,0.2307692307692307,1.111111111111111,73.30754352030948
