season,as_of_utc_date,game_id,game_date_et,game_status,game_status_text,away_team,home_team,matchup,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI_rawgame,wmi_rawgame_z_score
2025-26,2026-03-23,0022500001,2025-10-21T19:30:00-04:00,3,Final,HOU,OKC,HOU @ OKC,225,82,143,0.3048780487804878,0.2517482517482518,1.2110433604336042,0.7708335630784823
2025-26,2026-03-23,0022500002,2025-10-21T22:00:00-04:00,3,Final,GSW,LAL,GSW @ LAL,201,70,131,0.17142857142857143,0.2595419847328244,0.6605042016806723,-0.7634599035905215
2025-26,2026-03-23,0022500003,2025-10-22T19:00:00-04:00,3,Final,CLE,NYK,CLE @ NYK,208,69,139,0.3333333333333333,0.2302158273381295,1.4479166666666665,1.4309740097724357
2025-26,2026-03-23,0022500004,2025-10-22T21:30:00-04:00,3,Final,SAS,DAL,SAS @ DAL,200,71,129,0.2112676056338028,0.2868217054263566,0.7365816520746098,-0.5514402257084675
2025-26,2026-03-23,0022500005,2025-10-23T19:30:00-04:00,3,Final,OKC,IND,OKC @ IND,245,108,137,0.3055555555555556,0.36496350364963503,0.8372222222222223,-0.2709657729754481
2025-26,2026-03-23,0022500006,2025-10-23T22:00:00-04:00,3,Final,DEN,GSW,DEN @ GSW,211,64,147,0.140625,0.21768707482993196,0.64599609375,-0.803892441145491
2025-26,2026-03-23,0022500007,2025-10-27T19:00:00-04:00,3,Final,CLE,DET,CLE @ DET,208,81,127,0.2716049382716049,0.30708661417322836,0.8844571066793289,-0.13932722652660678
2025-26,2026-03-23,0022500008,2025-10-27T21:30:00-04:00,3,Final,DEN,MIN,DEN @ MIN,204,71,133,0.22535211267605634,0.2556390977443609,0.8815244407622205,-0.1475002512515593
2025-26,2026-03-23,0022500009,2025-12-25T12:00:00-05:00,3,Final,CLE,NYK,CLE @ NYK,206,60,146,0.25,0.2054794520547945,1.2166666666666668,0.7865051131894872
2025-26,2026-03-23,0022500010,2025-12-25T14:30:00-05:00,3,Final,SAS,OKC,SAS @ OKC,193,53,140,0.18867924528301888,0.2,0.9433962264150944,0.02492976574011368
2025-26,2026-03-23,0022500011,2025-12-25T17:00:00-05:00,3,Final,DAL,GSW,DAL @ GSW,211,65,146,0.15384615384615385,0.2191780821917808,0.701923076923077,-0.6480299497519079
2025-26,2026-03-23,0022500012,2025-12-25T20:00:00-05:00,3,Final,HOU,LAL,HOU @ LAL,180,43,137,0.3023255813953488,0.145985401459854,2.0709302325581396,3.167245860005025
2025-26,2026-03-23,0022500013,2025-12-25T22:30:00-05:00,3,Final,MIN,DEN,MIN @ DEN,234,78,156,0.2564102564102564,0.23076923076923078,1.111111111111111,0.4923331243588309
2025-26,2026-03-23,0022500014,2026-01-19T13:00:00-05:00,3,Final,MIL,ATL,MIL @ ATL,204,65,139,0.24615384615384617,0.22302158273381295,1.1037220843672457,0.47174070095368187
2025-26,2026-03-23,0022500015,2026-01-19T14:30:00-05:00,3,Final,OKC,CLE,OKC @ CLE,212,69,143,0.2898550724637681,0.21678321678321677,1.337073398784479,1.1220657349802987
2025-26,2026-03-23,0022500016,2026-01-19T17:00:00-05:00,3,Final,DAL,NYK,DAL @ NYK,209,62,147,0.16129032258064516,0.21768707482993196,0.7409274193548387,-0.5393290393564872
2025-26,2026-03-23,0022500017,2026-01-19T20:00:00-05:00,3,Final,BOS,DET,BOS @ DET,185,76,109,0.34210526315789475,0.3302752293577982,1.0358187134502923,0.28250130407103674
2025-26,2026-03-23,0022500018,2025-10-24T19:30:00-04:00,3,Final,BOS,NYK,BOS @ NYK,186,68,118,0.19117647058823528,0.2966101694915254,0.6445378151260504,-0.8079565069430578
2025-26,2026-03-23,0022500019,2025-10-24T22:00:00-04:00,3,Final,MIN,LAL,MIN @ LAL,185,70,115,0.3,0.3130434782608696,0.9583333333333333,0.066557877367093
2025-26,2026-03-23,0022500020,2025-10-31T19:00:00-04:00,3,Final,ATL,IND,ATL @ IND,203,67,136,0.208955223880597,0.25,0.835820895522388,-0.27487111988137
2025-26,2026-03-23,0022500021,2025-10-31T19:00:00-04:00,3,Final,BOS,PHI,BOS @ PHI,194,60,134,0.21666666666666667,0.23880597014925373,0.9072916666666667,-0.07568976196878284
2025-26,2026-03-23,0022500022,2025-10-31T19:30:00-04:00,3,Final,TOR,CLE,TOR @ CLE,195,55,140,0.2,0.2,1.0,0.1826783992739309
2025-26,2026-03-23,0022500023,2025-10-31T20:00:00-04:00,3,Final,NYK,CHI,NYK @ CHI,196,74,122,0.22972972972972974,0.30327868852459017,0.7574872169466764,-0.4931786632196284
2025-26,2026-03-23,0022500024,2025-10-31T21:30:00-04:00,3,Final,LAL,MEM,LAL @ MEM,195,65,130,0.3076923076923077,0.24615384615384617,1.25,0.8794015307149571
2025-26,2026-03-23,0022500025,2025-10-31T22:00:00-04:00,3,Final,UTA,PHX,UTA @ PHX,202,65,137,0.3230769230769231,0.24087591240875914,1.3412587412587413,1.1337298346395837
2025-26,2026-03-23,0022500026,2025-10-31T22:00:00-04:00,3,Final,DEN,POR,DEN @ POR,196,74,122,0.22972972972972974,0.29508196721311475,0.7785285285285286,-0.43453878923989087
2025-26,2026-03-23,0022500027,2025-10-31T22:30:00-04:00,3,Final,NOP,LAC,NOP @ LAC,197,65,132,0.3076923076923077,0.23484848484848486,1.3101736972704714,1.0470991578856257
2025-26,2026-03-23,0022500028,2025-11-07T19:00:00-05:00,3,Final,BOS,ORL,BOS @ ORL,198,80,118,0.225,0.3220338983050847,0.6986842105263159,-0.6570563223049898
2025-26,2026-03-23,0022500029,2025-11-07T19:00:00-05:00,3,Final,CLE,WAS,CLE @ WAS,207,68,139,0.16176470588235295,0.2517985611510791,0.642436974789916,-0.8138113231736543
