season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,possessions,n1_count_L_t_eq_1,n0_count_L_t_eq_0,mean_M_t_where_L_t_eq_1,mean_M_t_where_L_t_eq_0,WMI,source,wmi_percentile
2019-20,2019,Regular Season,0021900001,2019-10-22,NOP,TOR,NOP @ TOR,122,130,,224,86,138,0.18604651162790697,0.3333333333333333,0.5581395348837209,data.nba.com mobile_teams v2015 play-by-play,12.211538461538462
2019-20,2019,Regular Season,0021900002,2019-10-22,LAL,LAC,LAL @ LAC,102,112,,194,72,122,0.19444444444444445,0.30327868852459017,0.6411411411411412,data.nba.com mobile_teams v2015 play-by-play,19.471153846153847
2019-20,2019,Regular Season,0021900003,2019-10-23,CHI,CHA,CHI @ CHA,125,126,,208,59,149,0.2542372881355932,0.20134228187919462,1.2627118644067796,data.nba.com mobile_teams v2015 play-by-play,81.41225961538461
2019-20,2019,Regular Season,0021900004,2019-10-23,DET,IND,DET @ IND,119,110,,203,73,130,0.3561643835616438,0.23846153846153847,1.493592576226248,data.nba.com mobile_teams v2015 play-by-play,91.47836538461539
2019-20,2019,Regular Season,0021900005,2019-10-23,CLE,ORL,CLE @ ORL,85,94,,197,48,149,0.1875,0.16778523489932887,1.1175,data.nba.com mobile_teams v2015 play-by-play,71.02163461538461
2019-20,2019,Regular Season,0021900006,2019-10-23,MIN,BKN,MIN @ BKN,127,126,,234,90,144,0.18888888888888888,0.2986111111111111,0.6325581395348837,data.nba.com mobile_teams v2015 play-by-play,18.497596153846153
2019-20,2019,Regular Season,0021900007,2019-10-23,MEM,MIA,MEM @ MIA,101,120,,226,96,130,0.34375,0.34615384615384615,0.9930555555555556,data.nba.com mobile_teams v2015 play-by-play,59.30288461538461
2019-20,2019,Regular Season,0021900008,2019-10-23,BOS,PHI,BOS @ PHI,93,107,,203,87,116,0.3218390804597701,0.35344827586206895,0.910569105691057,data.nba.com mobile_teams v2015 play-by-play,50.28846153846154
2019-20,2019,Regular Season,0021900009,2019-10-23,WAS,DAL,WAS @ DAL,100,108,,206,74,132,0.2972972972972973,0.25757575757575757,1.1542130365659777,data.nba.com mobile_teams v2015 play-by-play,74.0264423076923
2019-20,2019,Regular Season,0021900010,2019-10-23,NYK,SAS,NYK @ SAS,111,120,,220,77,143,0.2987012987012987,0.25874125874125875,1.1544401544401544,data.nba.com mobile_teams v2015 play-by-play,74.05048076923076
2019-20,2019,Regular Season,0021900011,2019-10-23,OKC,UTA,OKC @ UTA,95,100,,202,76,126,0.4342105263157895,0.24603174603174602,1.7648556876061123,data.nba.com mobile_teams v2015 play-by-play,96.76682692307692
