season,season_start_year,season_type,game_id,game_date_et,away_team,home_team,matchup,away_score,home_score,series,error_message
2021-22,2021,Regular Season,0022100774,2022-02-02,WAS,PHI,WAS @ PHI,106,103,,No mobile play-by-play rows found for game_id 0022100774.
2021-22,2021,Regular Season,0022100776,2022-02-02,MEM,NYK,MEM @ NYK,120,108,,No mobile play-by-play rows found for game_id 0022100776.
2021-22,2021,Regular Season,0022100775,2022-02-02,CHA,BOS,CHA @ BOS,107,113,,No mobile play-by-play rows found for game_id 0022100775.
2021-22,2021,Regular Season,0022100773,2022-02-02,ORL,IND,ORL @ IND,119,118,,No mobile play-by-play rows found for game_id 0022100773.
2021-22,2021,Regular Season,0022100778,2022-02-02,OKC,DAL,OKC @ DAL,120,114,,No mobile play-by-play rows found for game_id 0022100778.
2021-22,2021,Regular Season,0022100779,2022-02-02,DEN,UTA,DEN @ UTA,104,108,,No mobile play-by-play rows found for game_id 0022100779.
2021-22,2021,Regular Season,0022100777,2022-02-02,CLE,HOU,CLE @ HOU,104,115,,No mobile play-by-play rows found for game_id 0022100777.
2021-22,2021,Regular Season,0022100780,2022-02-02,BKN,SAC,BKN @ SAC,101,112,,No mobile play-by-play rows found for game_id 0022100780.
2021-22,2021,Regular Season,0022100781,2022-02-02,POR,LAL,POR @ LAL,94,99,,No mobile play-by-play rows found for game_id 0022100781.
2021-22,2021,Regular Season,0022100430,2022-02-03,CHI,TOR,CHI @ TOR,120,127,,No mobile play-by-play rows found for game_id 0022100430.
2021-22,2021,Regular Season,0022100521,2022-02-03,MIA,SAS,MIA @ SAS,112,95,,No mobile play-by-play rows found for game_id 0022100521.
2021-22,2021,Regular Season,0022100782,2022-02-03,MIN,DET,MIN @ DET,128,117,,No mobile play-by-play rows found for game_id 0022100782.
2021-22,2021,Regular Season,0022100783,2022-02-03,PHX,ATL,PHX @ ATL,115,124,,No mobile play-by-play rows found for game_id 0022100783.
2021-22,2021,Regular Season,0022100787,2022-02-04,CLE,CHA,CLE @ CHA,102,101,,No mobile play-by-play rows found for game_id 0022100787.
2021-22,2021,Regular Season,0022100785,2022-02-03,SAC,GSW,SAC @ GSW,114,126,,No mobile play-by-play rows found for game_id 0022100785.
2021-22,2021,Regular Season,0022100786,2022-02-03,LAL,LAC,LAL @ LAC,110,111,,No mobile play-by-play rows found for game_id 0022100786.
2021-22,2021,Regular Season,0022100788,2022-02-04,BOS,DET,BOS @ DET,102,93,,No mobile play-by-play rows found for game_id 0022100788.
2021-22,2021,Regular Season,0022100790,2022-02-04,ATL,TOR,ATL @ TOR,114,125,,No mobile play-by-play rows found for game_id 0022100790.
2021-22,2021,Regular Season,0022100789,2022-02-04,CHI,IND,CHI @ IND,122,115,,No mobile play-by-play rows found for game_id 0022100789.
2021-22,2021,Regular Season,0022100792,2022-02-04,HOU,SAS,HOU @ SAS,106,131,,No mobile play-by-play rows found for game_id 0022100792.
2021-22,2021,Regular Season,0022100793,2022-02-04,BKN,UTA,BKN @ UTA,102,125,,No mobile play-by-play rows found for game_id 0022100793.
2021-22,2021,Regular Season,0022100791,2022-02-04,PHI,DAL,PHI @ DAL,98,107,,No mobile play-by-play rows found for game_id 0022100791.
2021-22,2021,Regular Season,0022100794,2022-02-04,NOP,DEN,NOP @ DEN,113,105,,No mobile play-by-play rows found for game_id 0022100794.
2021-22,2021,Regular Season,0022100795,2022-02-04,OKC,POR,OKC @ POR,96,93,,No mobile play-by-play rows found for game_id 0022100795.
2021-22,2021,Regular Season,0022100796,2022-02-05,MEM,ORL,MEM @ ORL,135,115,,No mobile play-by-play rows found for game_id 0022100796.
